x,z,grade,area_m2
-113.18763,-33.99989,0.2331698,0.8797456
-113.411011,-33.1398735,0.21117799,0.8796963
-113.447266,-31.2498627,0.192952543,3.51893783
-111.135231,-33.15002,0.232000053,7.03774166
-69.87612,-31.47908,0.08372931,9.579051
-66.0994339,-27.2536259,0.06760236,4.78953743
-67.9190445,-30.4167328,0.08367263,4.789509
-72.46809,-38.32449,0.1015251,9.579009
-71.69573,-34.6421852,0.09023002,9.579075
-67.28414,-24.6336823,0.06802365,19.1579781
-70.53721,-29.1187286,0.08733614,9.579051
-69.7648544,-25.4364376,0.07180228,9.579027
-214.048111,32.5024147,0.0268637128,1.93658757
-216.975815,32.1329231,0.045609545,1.93656027
-212.657333,33.2658958,0.0053105345,3.87297964
-208.375412,34.68822,0,7.74607372
-216.097839,31.06781,0.009812184,1.93652213
-217.6347,31.4618073,0.0777064,1.93649757
-213.938583,31.6342983,0,3.87308741
-218.952469,30.1195831,0.06512104,3.873012
-217.4156,29.7255859,0.0133438278,3.87304831
-225.510864,28.75556,0.08336545,1.67794883
-227.092239,28.3241825,0.04567052,0.419507027
-227.116714,28.9070072,0.111837253,0.419507027
-226.447449,28.2053223,0.0524484329,0.838984549
-223.564285,28.1075344,0.04672932,3.35605216
-230.595749,27.9580383,0.126039341,0.8389981
-228.989914,27.80658,0.117665187,0.209731281
-228.025757,27.7011166,0.07799556,0.104872949
-228.664444,27.6742954,0.107332781,0.104872875
-229.944824,27.6934757,0.117567614,0.4194431
-232.50563,27.7318211,0.12463247,1.67798364
-229.014359,28.389389,0.134945452,0.419502318
-228.034927,27.9196777,0.101759359,0.209757924
-228.679733,28.03855,0.126379117,0.209758073
-229.975449,28.4219818,0.1349464,0.8390035
-227.749268,28.7344761,0.129561558,0.419486731
-227.7248,28.1516514,0.07221015,0.419486731
-228.394043,28.8533421,0.135140628,0.8389802
-221.0586,29.3805237,0.0515742451,6.711938
-223.637741,29.8559971,0.07120726,6.71183872
-270.4265,-32.92343,0.00383344223,22.5296574
-279.731934,-44.8613777,0.007098628,5.63234043
-284.432831,-50.6231956,0.0165037774,5.63233376
-277.574341,-41.1518555,0.00693750242,11.2647381
-266.111359,-25.5044041,0.01891306,45.0601044
-252.731934,-5.111689,0.0290363636,1.40808141
-250.284988,-2.64507556,0.0494140871,1.40806246
-253.858948,-6.759308,0.0375286378,2.816297
-257.336426,-11.2878113,0.0219251066,1.408058
-259.6869,-14.1687059,0.023959225,1.40806353
-256.25766,-9.433064,0.0371148661,2.81625652
-250.429688,-2.02362061,0.06313751,2.81629372
-252.876587,-4.49023438,0.042976,2.81633162
-249.399124,0.038274128,0.0642310753,5.632399
-244.987549,7.042994,0.0163070541,2.81620884
-242.733521,10.3382158,0.04907884,2.816125
-239.4007,15.4881744,0.04539229,1.40811515
-236.607285,19.7107754,0.192713231,0.704051256
-237.686081,17.8560123,0.0445760265,0.704058647
-240.431274,13.42627,0.04666104,2.81612253
-245.921677,4.56678772,0.0622778274,11.2648544
-258.270538,-13.7640123,0.0175810363,5.63258648
-255.92009,-10.8831177,0.03759579,5.6324296
-252.4908,-6.14744568,0.04332234,2.81621647
-250.140335,-3.26652026,0.06502248,2.81619072
-253.473145,-8.416509,0.03791053,5.63247967
-259.059967,-16.8616848,0.0170007087,22.5300541
-279.0568,-47.7614937,0.00719881849,11.2648573
-284.143524,-51.8661041,0.0176319741,11.2646923
-276.899231,-44.0519753,0.00720562832,22.5299377
-267.690277,-31.6997318,0.00151998654,22.5294952
-272.0054,-39.1187553,0.00210819836,22.52993
-283.564819,-54.3519135,0.0175271854,22.52976
-278.478119,-50.247303,0.00711099943,22.53009
-285.3366,-59.7186279,0.0176384784,45.05946
-320.434143,-38.7312469,0.0160754975,4.237969
-327.163666,-31.6352444,0.0152305905,57.4539642
-341.932465,6.37171936,0.0218904875,11.2541294
-339.517548,1.62674963,0.0380352549,5.62705564
-341.318817,3.09479785,0.0222503524,5.627101
-344.777863,7.302358,0.0189924315,22.5082283
-346.439423,11.1391649,0.0223100111,21.583807
-322.776642,-34.8186226,0.0160200987,44.0958939
-311.5054,-44.663784,0.0157433636,36.0637665
