object,x,z,area,grade
Road 471332807 ,566.1461,-337.918,0.1396707,0.1389301
Road 471332807 ,565.6447,-337.7996,0.1396707,0.2000671
Road 471332807 ,564.6406,-337.4386,0.5587515,0.2133707
Road 471332807 ,566.3882,-337.2322,0.2793645,0.1900665
Road 471332807 ,566.394,-337.7289,0.2793759,0.1374709
Road 471332807 ,565.8869,-337.1138,0.5587516,0.2000655
Road 471332807 ,562.6349,-336.9649,1.11748,0.2583251
Road 471332807 ,564.6348,-336.942,1.11748,0.2072798
Road 471332807 ,561.6407,-337.4731,2.235006,0.2583246
Road 471332807 ,564.6291,-336.4453,1.117481,0.2072925
Road 471332807 ,562.6292,-336.4683,1.117481,0.2583331
Road 471332807 ,565.6233,-335.9372,2.234984,0.2069835
Road 471332807 ,562.6178,-335.475,1.117572,0.254575
Road 471332807 ,564.6176,-335.4521,1.117572,0.2076041
Road 471332807 ,561.6235,-335.9832,2.235121,0.2525269
Road 471332807 ,564.6119,-334.9554,1.117572,0.2076026
Road 471332807 ,562.6121,-334.9784,1.117572,0.2545738
Road 471332807 ,565.6062,-334.4473,2.235165,0.2073091
Road 471332807 ,563.1021,-334.1035,0.5586939,0.2583151
Road 471332807 ,561.5994,-333.8725,0.2793415,0.1573274
Road 471332807 ,562.5993,-333.861,0.2793529,0.2326618
Road 471332807 ,564.6006,-333.9621,1.117388,0.2078978
Road 471332807 ,561.8558,-334.4283,0.2793415,0.2219227
Road 471332807 ,561.3515,-334.0616,0.2793415,0.1556241
Road 471332807 ,562.6064,-334.4817,0.5586831,0.2583199
Road 471332807 ,560.8558,-334.4398,0.5586999,0.1375506
Road 471332807 ,561.36,-334.8065,0.5586999,0.2285643
Road 471332807 ,564.5949,-333.4655,1.117573,0.2079253
Road 471332807 ,562.3458,-333.5535,0.1396937,0.1863404
Road 471332807 ,562.8472,-333.6719,0.1396996,0.2713946
Road 471332807 ,561.5965,-333.6242,0.2793873,0.1375457
Road 471332807 ,563.3443,-333.4178,0.2794046,0.2583418
Road 471332807 ,562.5936,-333.3643,0.1396937,0.2012609
Road 471332807 ,563.0921,-333.2344,0.1396937,0.2583169
Road 471332807 ,565.5891,-332.9573,2.235125,0.2076229
Road 471332807 ,563.3356,-332.6728,0.2793764,0.2125542
Road 471332807 ,562.8342,-332.5545,0.2793764,0.1375534
Road 471332807 ,562.0821,-332.3769,0.5587409,0.1375417
Road 471332807 ,564.5834,-332.4722,1.117483,0.1906584
Road 471332807 ,561.088,-332.885,1.117471,0.1375415
Road 471332807 ,562.3386,-332.9327,0.2793764,0.1375546
Road 471332807 ,563.0893,-332.9861,0.1396882,0.2077973
Road 471332807 ,562.5908,-333.1161,0.1396882,0.1414535
Road 471332807 ,561.5922,-333.2517,0.5587528,0.1375459
Road 471332807 ,564.5776,-331.9756,1.117435,0.2214106
Road 471332807 ,562.0793,-332.1286,0.5587398,0.1589165
Road 471332807 ,563.0764,-331.8687,0.558706,0.1906345
Road 471332807 ,565.5718,-331.4674,2.23487,0.2651156
Road 471332807 ,562.5693,-331.2537,4.47047,0.2212495
Road 471332807 ,564.5577,-330.2373,4.470289,0.2700238
Road 471332807 ,562.5521,-329.7637,4.469924,0.2441317
Road 1098489687 ,85.98578,-400.8025,4.157357,0.008706422
Road 1098489687 ,87.64626,-402.0092,4.15755,0.009060893
Road 1098489687 ,85.44427,-402.078,4.157084,0.00881423
Road 1098489687 ,87.10476,-403.2848,4.157084,0.008381882
